separation_m,eta_measured_over_pfa
1.215e-07,1.018
1.304e-07,1.025
1.398e-07,1.034
1.492e-07,1.045
1.597e-07,1.059
1.696e-07,1.074
1.802e-07,1.092
1.905e-07,1.111
2.012e-07,1.133
2.158e-07,1.166
2.302e-07,1.201
2.454e-07,1.242
2.604e-07,1.286
2.756e-07,1.334
2.909e-07,1.387
3.111e-07,1.463
3.308e-07,1.545
3.513e-07,1.638
3.714e-07,1.739
3.916e-07,1.851
4.120e-07,1.975
4.321e-07,2.112
4.526e-07,2.266
4.772e-07,2.469
5.019e-07,2.698
